# Output file from SSolar_GOA model
#   Input Data
#  Ext. Spectrum= Wehrli
# lat=41.66 lon=-4.7 sza=29.358 jday=152
#  p=1013.0 o3=300.0 h2o=1.5 alb=0.2
#  alpha=1.5 beta=0.05 Wa=0.98 g=0.75
# Wavelength Global Direct Diffuse
579 1.40602 1.36728 0.21433
580 1.41121 1.37323 0.21434
581 1.41359 1.37644 0.21392
582 1.41500 1.37870 0.21336
583 1.41544 1.38001 0.21266
584 1.41491 1.38038 0.21181
585 1.40552 1.37208 0.20965
586 1.37762 1.34569 0.20475
587 1.35095 1.32046 0.20007
588 1.33292 1.30364 0.19670
589 1.31958 1.29139 0.19404
590 1.31254 1.28529 0.19232
591 1.30306 1.27677 0.19026
592 1.30000 1.27454 0.18914
593 1.31409 1.28913 0.19052
594 1.32530 1.30090 0.19147
595 1.32433 1.30071 0.19066
596 1.32589 1.30302 0.19022
597 1.32704 1.30490 0.18972
598 1.32983 1.30840 0.18946
599 1.33282 1.31210 0.18923
600 1.33639 1.31636 0.18908
601 1.34249 1.32312 0.18929
602 1.34902 1.33031 0.18956
603 1.35344 1.33541 0.18953
604 1.35694 1.33961 0.18937
605 1.35975 1.34313 0.18912
606 1.36254 1.34663 0.18886
607 1.36077 1.34561 0.18797
608 1.35557 1.34119 0.18662
609 1.35159 1.33798 0.18545
610 1.34507 1.33223 0.18393
611 1.33933 1.32725 0.18253
612 1.33628 1.32493 0.18151
613 1.32817 1.31758 0.17980
614 1.32191 1.31205 0.17836
615 1.32203 1.31285 0.17778
616 1.32206 1.31356 0.17720
617 1.32608 1.31822 0.17715
618 1.32869 1.32149 0.17691
619 1.32841 1.32188 0.17629
620 1.33266 1.32677 0.17628
621 1.33402 1.32879 0.17588
622 1.32695 1.32240 0.17438
623 1.32184 1.31796 0.17314
624 1.31948 1.31625 0.17227
625 1.31746 1.31488 0.17145
626 1.30061 1.29868 0.16871
627 1.29706 1.29577 0.16770
628 1.28498 1.28431 0.16561
629 1.29073 1.29067 0.16581
630 1.29422 1.29477 0.16573
631 1.29378 1.29494 0.16515
632 1.29351 1.29527 0.16458
633 1.29353 1.29589 0.16406
634 1.29506 1.29802 0.16374
635 1.29821 1.30177 0.16362
636 1.30066 1.30483 0.16341
637 1.30052 1.30527 0.16288
638 1.29770 1.30303 0.16201
639 1.29481 1.30071 0.16115
640 1.29219 1.29866 0.16032
641 1.28948 1.29650 0.15948
642 1.28611 1.29368 0.15857
643 1.27959 1.28768 0.15728
644 1.27144 1.28004 0.15579
645 1.26088 1.26995 0.15402
646 1.24712 1.25663 0.15187
647 1.23671 1.24667 0.15014
648 1.23003 1.24046 0.14887
649 1.22704 1.23797 0.14805
650 1.22801 1.23947 0.14772
651 1.22731 1.23929 0.14719
652 1.22483 1.23729 0.14644
653 1.21786 1.23076 0.14517
654 1.19823 1.21142 0.14240
655 1.18425 1.19777 0.14031
656 1.18086 1.19482 0.13949
657 1.18053 1.19497 0.13903
658 1.18514 1.20012 0.13915
659 1.19329 1.20885 0.13969
660 1.20912 1.22536 0.14112
661 1.23303 1.25009 0.14348
662 1.24695 1.26470 0.14467
663 1.24915 1.26742 0.14450
664 1.24829 1.26703 0.14397
665 1.24613 1.26533 0.14330
666 1.24545 1.26513 0.14280
667 1.24383 1.26396 0.14220
668 1.24000 1.26054 0.14134
669 1.23621 1.25717 0.14050
670 1.23400 1.25539 0.13984
671 1.23247 1.25430 0.13926
672 1.22966 1.25190 0.13854
673 1.22596 1.24859 0.13772
674 1.22397 1.24702 0.13710
675 1.22296 1.24645 0.13659
676 1.22109 1.24499 0.13599
677 1.21848 1.24278 0.13531
678 1.21599 1.24068 0.13465
679 1.21337 1.23845 0.13397
680 1.20989 1.23533 0.13321
681 1.20480 1.23057 0.13227
682 1.19887 1.22494 0.13125
683 1.19452 1.22091 0.13040
684 1.19120 1.21795 0.12967
685 1.18817 1.21527 0.12897
686 1.17456 1.20176 0.12714
687 1.06179 1.08675 0.11461
688 1.05148 1.07656 0.11318
689 1.08742 1.11374 0.11672
690 1.08373 1.11032 0.11600
691 1.10349 1.13095 0.11778
692 1.10835 1.13631 0.11797
693 1.10534 1.13360 0.11733
694 1.09902 1.12749 0.11633
695 1.09439 1.12310 0.11552
696 1.09194 1.12096 0.11495
697 1.08945 1.11876 0.11437
698 1.08361 1.11312 0.11344
699 1.07647 1.10614 0.11239
700 1.07200 1.10190 0.11162
701 1.07063 1.10084 0.11117
702 1.07140 1.10198 0.11095
703 1.07386 1.10486 0.11090
704 1.07888 1.11036 0.11112
705 1.08336 1.11532 0.11128
706 1.08637 1.11877 0.11128
707 1.08902 1.12183 0.11125
708 1.09003 1.12322 0.11106
709 1.08938 1.12289 0.11069
710 1.08854 1.12237 0.11031
711 1.08754 1.12168 0.10992
712 1.08519 1.11958 0.10939
713 1.07677 1.11123 0.10825
714 1.06011 1.09436 0.10629
715 1.03470 1.06845 0.10347
716 1.00069 1.03363 0.09980
717 0.96480 0.99685 0.09597
718 0.93744 0.96886 0.09300
719 0.92203 0.95321 0.09124
720 0.91729 0.94858 0.09053
721 0.92460 0.95642 0.09101
722 0.93638 0.96888 0.09193
723 0.94284 0.97584 0.09232
724 0.94244 0.97570 0.09204
725 0.94069 0.97416 0.09163
726 0.93411 0.96762 0.09076
727 0.92834 0.96191 0.08996
728 0.92842 0.96226 0.08974
729 0.93494 0.96928 0.09014
730 0.94291 0.97781 0.09067
731 0.95421 0.98981 0.09152
732 0.96916 1.00558 0.09272
733 0.98512 1.02242 0.09400
734 0.99753 1.03558 0.09495
735 1.00496 1.04357 0.09541
736 1.00807 1.04708 0.09546
737 1.00937 1.04871 0.09534
738 1.01011 1.04975 0.09517
739 1.01333 1.05338 0.09523
740 1.01911 1.05966 0.09554
741 1.02470 1.06575 0.09582
742 1.03010 1.07164 0.09608
743 1.03590 1.07796 0.09638
744 1.04221 1.08480 0.09673
745 1.04773 1.09083 0.09699
746 1.04983 1.09329 0.09695
747 1.04925 1.09296 0.09665
748 1.04798 1.09191 0.09630
749 1.04664 1.09079 0.09593
750 1.04458 1.08891 0.09551
751 1.04201 1.08650 0.09504
752 1.04000 1.08468 0.09462
753 1.03818 1.08305 0.09422
754 1.03639 1.08144 0.09383
755 1.03464 1.07988 0.09344
756 1.03237 1.07777 0.09301
757 1.02993 1.07548 0.09256
758 1.02220 1.06767 0.09165
759 0.84785 0.88578 0.07583
760 0.60423 0.63141 0.05391
761 0.53454 0.55871 0.04758
762 0.64052 0.66964 0.05687
763 0.69078 0.72237 0.06119
764 0.69128 0.72306 0.06108
765 0.77778 0.81372 0.06856
766 0.84960 0.88907 0.07471
767 0.90471 0.94696 0.07937
768 0.95007 0.99467 0.08315
769 0.96827 1.01395 0.08454
770 0.98281 1.02941 0.08560
771 0.99009 1.03727 0.08603
772 0.99174 1.03923 0.08597
773 0.99124 1.03894 0.08573
774 0.99091 1.03883 0.08549
775 0.98979 1.03788 0.08520
776 0.98780 1.03603 0.08482
777 0.98536 1.03370 0.08442
778 0.98404 1.03254 0.08411
779 0.98327 1.03196 0.08384
780 0.98135 1.03017 0.08348
781 0.97914 1.02807 0.08310
782 0.97751 1.02658 0.08277
783 0.97540 1.02458 0.08240
784 0.97228 1.02152 0.08194
785 0.96754 1.01676 0.08136
786 0.96167 1.01080 0.08068
787 0.95443 1.00341 0.07988
788 0.94594 0.99469 0.07899
789 0.93716 0.98567 0.07808
790 0.93002 0.97837 0.07730
791 0.92536 0.97367 0.07674
792 0.92165 0.96996 0.07626
793 0.91966 0.96807 0.07592
794 0.91995 0.96857 0.07577
795 0.91870 0.96745 0.07549
796 0.91558 0.96436 0.07507
797 0.91352 0.96239 0.07473
798 0.91267 0.96169 0.07449
799 0.91086 0.95997 0.07417
800 0.90749 0.95661 0.07373
801 0.90368 0.95278 0.07326
802 0.90107 0.95023 0.07288
803 0.90064 0.94995 0.07268
804 0.90159 0.95114 0.07260
805 0.90124 0.95096 0.07241
806 0.89917 0.94896 0.07208
807 0.89741 0.94729 0.07178
808 0.89512 0.94506 0.07144
809 0.89120 0.94110 0.07096
810 0.88426 0.93395 0.07026
811 0.87392 0.92320 0.06928
812 0.86184 0.91062 0.06817
813 0.84879 0.89699 0.06699
814 0.83335 0.88085 0.06563
815 0.81130 0.85770 0.06375
816 0.79460 0.84021 0.06230
817 0.78570 0.83094 0.06147
818 0.78377 0.82906 0.06118
819 0.78365 0.82909 0.06104
820 0.78608 0.83181 0.06110
821 0.79003 0.83614 0.06127
822 0.79703 0.84371 0.06168
823 0.80046 0.84749 0.06181
824 0.80715 0.85473 0.06219
825 0.81200 0.86003 0.06243
826 0.81427 0.86258 0.06247
827 0.81665 0.86526 0.06252
828 0.81774 0.86657 0.06246
